City,State,Latitude,Longitude
Williamsville,IL,39.95422,-89.54871
Pensacola,FL,30.428781,-87.222516
Poteau,OK,35.05371,-94.62356
Pflugerville,TX,30.442737,-97.597055
Nisku,AB,41.332034,-96.949369
Flatonia,TX,29.782749,-97.111371
Candor,NC,35.264204,-79.800002
Forest,MS,32.399853,-89.505298
Henrietta,NY,43.05923,-77.61222
Coquitlam,BC,45.784462,-93.552152
Fort Nelson,BC,34.242944,-84.458326
Berlin,MA,42.3812,-71.63701
Italy,TX,32.189616,-96.873872
Graniteville,SC,33.56375,-81.80789
Prince George,BC,37.234733,-77.263465
Hinton,AB,35.473233,-98.36371
Lethbridge,AB,41.332034,-96.949369
East Troy,WI,42.78529,-88.4051
Richmond,KY,37.764867,-84.296913
Aurora,NE,40.850832,-98.054272
Canajoharie,NY,42.867146,-74.595636
South Bay,FL,26.66396,-80.71617
Central City,NE,41.162876,-98.010548
Holdrege,NE,40.429207,-99.325955
Baileyville,ME,45.115083,-67.477541
Charlton,MA,42.13277,-71.972627
Scarborough,ME,43.576983,-70.273642
Wake Forest,NC,35.982414,-78.551748
Holden,ME,44.75285,-68.67892
Gorham,NH,44.404848,-71.154758
New Hampton,NH,43.603288,-71.634674
Temple,TX,31.068306,-97.3047
Fleetwood,PA,40.45398,-75.81798
Demotte,IN,41.19504,-87.19864
High Point,NC,35.954467,-79.987882
Gadsden,AL,34.049367,-85.934285
Newburgh,NY,41.539574,-74.057223
Red Deer,AB,42.88973,-71.27786
Saint Albans,VT,44.809326,-73.081499
Ellenwood,GA,33.616559,-84.293942
Curtiss,WI,44.95525,-90.43458
Waco,GA,33.09374,-84.57382
Wildwood,GA,33.09374,-84.57382
Millbury,MA,42.19398,-71.76007
Stanton,TN,35.456111,-89.339146
Menasha,WI,44.20104,-88.329484
Schofield,WI,44.866501,-89.576968
Dundee,MI,41.964903,-83.668808
Michigan City,IN,41.68934,-86.869178
Saint Robert,MO,37.828203,-92.131213
Loves Park,IL,42.341767,-89.004716
Imlay City,MI,43.065642,-83.060893
Milltown,MT,46.873695,-113.878294
Palmer,TX,32.460524,-96.675575
Kuttawa,KY,37.073525,-88.144971
Buffalo,WY,44.122611,-106.561068
Mount Pleasant,TX,33.22101,-94.984645
Harrold,TX,34.042817,-98.992952
Vienna,GA,33.09374,-84.57382
Crawfordsville,IN,40.042425,-86.893538
Wheatley,AR,34.950619,-91.091003
Little Rock,AR,34.746905,-92.280049
Campobello,SC,35.11567,-82.15011
Utica,IL,41.411759,-89.008197
Lyon,MS,34.236389,-90.47941
Belle Plaine,KS,37.359755,-97.287694
Plant City,FL,28.029627,-82.134741
Ringoes,NJ,40.445602,-74.840322
Waterloo,NY,42.892556,-76.882263
Pittsboro,IN,39.86393,-86.46694
Boyce,LA,31.39046,-92.66931
Belton,TX,30.983551,-97.521848
Jonesboro,AR,35.835847,-90.623071
Tenaha,TX,31.948053,-94.247695
Minden,LA,32.725217,-93.312837
Bassett,VA,36.735045,-79.975528
Pinehurst,GA,33.09374,-84.57382
Whitecourt,AB,41.332034,-96.949369
Kentwood,LA,30.814466,-90.428043
Skippers,VA,36.595815,-77.59207
Fort Payne,AL,34.417112,-85.828068
Courtland,AL,34.673954,-87.28962
Winton,NC,36.418251,-76.954858
Edson,AB,44.93138,-91.021401
Superior,MT,47.137198,-114.747599
Plaquemine,LA,30.215233,-91.267904
Hensley,AR,34.520167,-92.205503
Farmersville,IL,39.440138,-89.617023
Dwight,IL,41.059551,-88.417086
Blytheville,AR,35.902592,-89.903372
Middleton,MI,44.662952,-84.089518
Reserve,LA,30.05819,-90.605871
Saint James,LA,30.033127,-90.867755
Ropesville,TX,33.451993,-102.285032
Millbrook,AL,32.47986,-86.36192
Atmore,AL,31.119972,-87.470001
Syracuse,NY,43.02143,-76.197701
Calexico,CA,32.68755,-115.541
Tecumseh,KS,39.04806,-95.57915
Horse Cave,KY,37.202266,-85.89552
La Grange,IL,41.78443,-87.868953
Farmer City,IL,40.18631,-88.69107
Milton,FL,30.792885,-86.985834
Jennings,LA,30.259096,-92.69411
Hankamer,TX,29.85828,-94.62686
Saint Ignace,MI,45.99852,-84.697818
Newport,MI,42.00227,-83.30854
West Branch,MI,43.967633,-85.980028
Hahira,GA,30.942022,-83.333206
Adel,GA,31.151742,-83.407143
Luna Pier,MI,41.80699,-83.44243
Parkersburg,WV,39.286315,-81.55477
Hamptonville,NC,36.119371,-80.80111
Geneseo,IL,41.437746,-90.158163
Neola,IA,41.390749,-95.583086
Marsing,ID,43.388977,-116.731362
South Hill,VA,36.717223,-78.168729
Townville,SC,34.533588,-82.892202
Fair Play,SC,34.542683,-83.029707
Jamestown,NY,42.08016,-79.25671
Lexington,MA,42.446396,-71.459405
Lee,MA,42.30685,-73.2504
Fillmore,UT,38.96052,-112.33633
Moapa,NV,36.691647,-114.651381
Sangerfield,NY,42.916235,-75.35448
Twin City,GA,32.54978,-82.183916
S Coffeyville,OK,36.994525,-95.620255
Marion,IN,40.599427,-85.629225
Brandon,SD,43.5947,-96.57199
Bellows Falls,VT,43.13341,-72.44398
Melrose,MN,45.67469,-94.80752
Hixton,WI,44.40376,-91.044171
Sumter,SC,33.913678,-80.354238
Croydon,PA,40.090878,-74.887554
Richmond,ME,44.108059,-69.827489
Lake Odessa,MI,42.827728,-85.143286
Park Hills,MO,37.849808,-90.488486
Round Mountain,TX,30.414943,-98.356711
Brent,AL,32.93735,-87.16472
Steele,MO,36.08396,-89.82925
Merkel,TX,32.47068,-100.01287
Bessemer,AL,33.402429,-86.951784
Heavener,OK,34.87121,-94.603
Mitchell,IN,38.73283,-86.4736
Urbana,IA,42.236512,-91.888136
Lillington,NC,35.399221,-78.871194
Scottsboro,AL,34.750724,-86.142151
Huntsville,AL,34.718428,-86.556439
Watonga,OK,35.84477,-98.41313
Stuttgart,AR,34.50037,-91.55263
San Jon,NM,35.10756,-103.32856
Wheatland,WY,42.013984,-104.967405
Peoria,IL,40.693137,-89.589847
Hendersonville,NC,35.260468,-82.553068
Atchison,KS,39.535948,-95.225098
Dearborn,MO,39.487839,-94.763263
Brookings,SD,44.355091,-96.762102
Monmouth Junction,NJ,40.386942,-74.555799
Bryant,AR,34.612417,-92.493519
Roscoe,IL,42.416908,-89.000227
